spec,date,count,date_count,freq,year,month
game developer,2017-09-01,2,784,0.26%,2017,09
mobile,2017-09-01,30,784,3.83%,2017,09
administrator,2017-10-01,569,969,58.72%,2017,10
backend,2017-10-01,168,969,17.34%,2017,10
data science,2017-10-01,1,969,0.1%,2017,10
devops,2017-10-01,30,969,3.1%,2017,10
frontend,2017-10-01,144,969,14.86%,2017,10
game developer,2017-10-01,2,969,0.21%,2017,10
mobile,2017-10-01,55,969,5.68%,2017,10
administrator,2017-11-01,478,829,57.66%,2017,11
backend,2017-11-01,167,829,20.14%,2017,11
devops,2017-11-01,13,829,1.57%,2017,11
frontend,2017-11-01,136,829,16.41%,2017,11
game developer,2017-11-01,4,829,0.48%,2017,11
mobile,2017-11-01,31,829,3.74%,2017,11
administrator,2017-12-01,382,724,52.76%,2017,12
backend,2017-12-01,150,724,20.72%,2017,12
data science,2017-12-01,3,724,0.41%,2017,12
devops,2017-12-01,17,724,2.35%,2017,12
frontend,2017-12-01,140,724,19.34%,2017,12
game developer,2017-12-01,7,724,0.97%,2017,12
mobile,2017-12-01,25,724,3.45%,2017,12
administrator,2018-01-01,379,688,55.09%,2018,01
backend,2018-01-01,149,688,21.66%,2018,01
data science,2018-01-01,3,688,0.44%,2018,01
devops,2018-01-01,22,688,3.2%,2018,01
frontend,2018-01-01,113,688,16.42%,2018,01
game developer,2018-01-01,1,688,0.15%,2018,01
mobile,2018-01-01,21,688,3.05%,2018,01
administrator,2018-02-01,391,787,49.68%,2018,02
backend,2018-02-01,201,787,25.54%,2018,02
data science,2018-02-01,3,787,0.38%,2018,02
devops,2018-02-01,34,787,4.32%,2018,02
frontend,2018-02-01,102,787,12.96%,2018,02
game developer,2018-02-01,3,787,0.38%,2018,02
mobile,2018-02-01,53,787,6.73%,2018,02
administrator,2018-03-01,493,896,55.02%,2018,03
backend,2018-03-01,190,896,21.21%,2018,03
data science,2018-03-01,3,896,0.33%,2018,03
devops,2018-03-01,23,896,2.57%,2018,03
frontend,2018-03-01,152,896,16.96%,2018,03
game developer,2018-03-01,6,896,0.67%,2018,03
mobile,2018-03-01,29,896,3.24%,2018,03
administrator,2018-04-01,400,716,55.87%,2018,04
backend,2018-04-01,146,716,20.39%,2018,04
data science,2018-04-01,2,716,0.28%,2018,04
devops,2018-04-01,20,716,2.79%,2018,04
frontend,2018-04-01,112,716,15.64%,2018,04
game developer,2018-04-01,6,716,0.84%,2018,04
mobile,2018-04-01,30,716,4.19%,2018,04
administrator,2018-05-01,467,767,60.89%,2018,05
backend,2018-05-01,140,767,18.25%,2018,05
data science,2018-05-01,2,767,0.26%,2018,05
devops,2018-05-01,16,767,2.09%,2018,05
frontend,2018-05-01,119,767,15.51%,2018,05
game developer,2018-05-01,4,767,0.52%,2018,05
mobile,2018-05-01,19,767,2.48%,2018,05
administrator,2018-06-01,427,745,57.32%,2018,06
backend,2018-06-01,151,745,20.27%,2018,06
data science,2018-06-01,4,745,0.54%,2018,06
devops,2018-06-01,15,745,2.01%,2018,06
frontend,2018-06-01,110,745,14.77%,2018,06
game developer,2018-06-01,6,745,0.81%,2018,06
mobile,2018-06-01,32,745,4.3%,2018,06
administrator,2018-07-01,385,708,54.38%,2018,07
backend,2018-07-01,138,708,19.49%,2018,07
data science,2018-07-01,1,708,0.14%,2018,07
devops,2018-07-01,11,708,1.55%,2018,07
frontend,2018-07-01,131,708,18.5%,2018,07
game developer,2018-07-01,4,708,0.56%,2018,07
mobile,2018-07-01,38,708,5.37%,2018,07
administrator,2018-08-01,394,830,47.47%,2018,08
backend,2018-08-01,165,830,19.88%,2018,08
data science,2018-08-01,3,830,0.36%,2018,08
devops,2018-08-01,19,830,2.29%,2018,08
frontend,2018-08-01,105,830,12.65%,2018,08
game developer,2018-08-01,3,830,0.36%,2018,08
mobile,2018-08-01,141,830,16.99%,2018,08
administrator,2018-09-01,337,739,45.6%,2018,09
backend,2018-09-01,196,739,26.52%,2018,09
devops,2018-09-01,12,739,1.62%,2018,09
frontend,2018-09-01,139,739,18.81%,2018,09
game developer,2018-09-01,12,739,1.62%,2018,09
mobile,2018-09-01,43,739,5.82%,2018,09
administrator,2018-10-01,404,707,57.14%,2018,10
backend,2018-10-01,135,707,19.09%,2018,10
data science,2018-10-01,2,707,0.28%,2018,10
devops,2018-10-01,20,707,2.83%,2018,10
frontend,2018-10-01,114,707,16.12%,2018,10
game developer,2018-10-01,3,707,0.42%,2018,10
mobile,2018-10-01,29,707,4.1%,2018,10
administrator,2018-11-01,365,648,56.33%,2018,11
backend,2018-11-01,137,648,21.14%,2018,11
data science,2018-11-01,3,648,0.46%,2018,11
devops,2018-11-01,16,648,2.47%,2018,11
frontend,2018-11-01,91,648,14.04%,2018,11
game developer,2018-11-01,7,648,1.08%,2018,11
mobile,2018-11-01,29,648,4.48%,2018,11
administrator,2018-12-01,325,527,61.67%,2018,12
backend,2018-12-01,90,527,17.08%,2018,12
devops,2018-12-01,13,527,2.47%,2018,12
frontend,2018-12-01,74,527,14.04%,2018,12
game developer,2018-12-01,3,527,0.57%,2018,12
mobile,2018-12-01,22,527,4.17%,2018,12
administrator,2019-01-01,267,516,51.74%,2019,01
backend,2019-01-01,130,516,25.19%,2019,01
data science,2019-01-01,1,516,0.19%,2019,01
devops,2019-01-01,14,516,2.71%,2019,01
frontend,2019-01-01,70,516,13.57%,2019,01
game developer,2019-01-01,1,516,0.19%,2019,01
mobile,2019-01-01,33,516,6.4%,2019,01
administrator,2019-02-01,310,536,57.84%,2019,02
backend,2019-02-01,95,536,17.72%,2019,02
data science,2019-02-01,5,536,0.93%,2019,02
devops,2019-02-01,16,536,2.99%,2019,02
frontend,2019-02-01,88,536,16.42%,2019,02
game developer,2019-02-01,2,536,0.37%,2019,02
mobile,2019-02-01,20,536,3.73%,2019,02
administrator,2019-03-01,324,615,52.68%,2019,03
backend,2019-03-01,134,615,21.79%,2019,03
data science,2019-03-01,5,615,0.81%,2019,03
devops,2019-03-01,26,615,4.23%,2019,03
frontend,2019-03-01,98,615,15.93%,2019,03
game developer,2019-03-01,3,615,0.49%,2019,03
mobile,2019-03-01,25,615,4.07%,2019,03
administrator,2019-04-01,358,650,55.08%,2019,04
backend,2019-04-01,144,650,22.15%,2019,04
data science,2019-04-01,2,650,0.31%,2019,04
devops,2019-04-01,24,650,3.69%,2019,04
frontend,2019-04-01,97,650,14.92%,2019,04
game developer,2019-04-01,3,650,0.46%,2019,04
mobile,2019-04-01,22,650,3.38%,2019,04
administrator,2019-05-01,271,514,52.72%,2019,05
