spec,date,tags,year,month
administrator,2016-12-01,"[{""tech"": ""windows"", ""freq"": ""56.35%""}, {""tech"": ""sql"", ""freq"": ""52.44%""}, {""tech"": ""server"", ""freq"": ""27.36%""}, {""tech"": ""ip"", ""freq"": ""18.57%""}, {""tech"": ""linux"", ""freq"": ""16.61%""}, {""tech"": ""dns"", ""freq"": ""14.33%""}, {""tech"": ""oracle"", ""freq"": ""11.07%""}, {""tech"": ""tcp"", ""freq"": ""10.75%""}, {""tech"": ""web"", ""freq"": ""9.77%""}, {""tech"": ""directory"", ""freq"": ""9.45%""}]",2016,12
administrator,2017-01-01,"[{""tech"": ""sql"", ""freq"": ""56.38%""}, {""tech"": ""windows"", ""freq"": ""53.02%""}, {""tech"": ""linux"", ""freq"": ""27.85%""}, {""tech"": ""server"", ""freq"": ""25.84%""}, {""tech"": ""ip"", ""freq"": ""18.12%""}, {""tech"": ""dns"", ""freq"": ""13.09%""}, {""tech"": ""tcp"", ""freq"": ""10.4%""}, {""tech"": ""oracle"", ""freq"": ""10.07%""}, {""tech"": ""nosql"", ""freq"": ""10.07%""}, {""tech"": ""web"", ""freq"": ""8.72%""}]",2017,01
administrator,2017-02-01,"[{""tech"": ""windows"", ""freq"": ""61.31%""}, {""tech"": ""sql"", ""freq"": ""46.32%""}, {""tech"": ""server"", ""freq"": ""31.06%""}, {""tech"": ""ip"", ""freq"": ""22.07%""}, {""tech"": ""linux"", ""freq"": ""21.8%""}, {""tech"": ""dns"", ""freq"": ""16.08%""}, {""tech"": ""tcp"", ""freq"": ""13.62%""}, {""tech"": ""directory"", ""freq"": ""11.44%""}, {""tech"": ""vpn"", ""freq"": ""10.35%""}, {""tech"": ""web"", ""freq"": ""6.81%""}]",2017,02
administrator,2017-03-01,"[{""tech"": ""windows"", ""freq"": ""63.07%""}, {""tech"": ""sql"", ""freq"": ""45.41%""}, {""tech"": ""server"", ""freq"": ""28.9%""}, {""tech"": ""linux"", ""freq"": ""23.39%""}, {""tech"": ""ip"", ""freq"": ""18.81%""}, {""tech"": ""tcp"", ""freq"": ""12.84%""}, {""tech"": ""dns"", ""freq"": ""10.55%""}, {""tech"": ""oracle"", ""freq"": ""10.32%""}, {""tech"": ""directory"", ""freq"": ""8.49%""}, {""tech"": ""vpn"", ""freq"": ""5.96%""}]",2017,03
administrator,2017-04-01,"[{""tech"": ""windows"", ""freq"": ""66.1%""}, {""tech"": ""sql"", ""freq"": ""44.07%""}, {""tech"": ""server"", ""freq"": ""34.46%""}, {""tech"": ""linux"", ""freq"": ""25.71%""}, {""tech"": ""ip"", ""freq"": ""25.14%""}, {""tech"": ""tcp"", ""freq"": ""17.51%""}, {""tech"": ""dns"", ""freq"": ""17.23%""}, {""tech"": ""directory"", ""freq"": ""11.3%""}, {""tech"": ""oracle"", ""freq"": ""7.06%""}, {""tech"": ""vpn"", ""freq"": ""6.78%""}]",2017,04
administrator,2017-05-01,"[{""tech"": ""windows"", ""freq"": ""63.36%""}, {""tech"": ""sql"", ""freq"": ""47.28%""}, {""tech"": ""server"", ""freq"": ""33.1%""}, {""tech"": ""linux"", ""freq"": ""26.71%""}, {""tech"": ""ip"", ""freq"": ""19.86%""}, {""tech"": ""dns"", ""freq"": ""16.55%""}, {""tech"": ""tcp"", ""freq"": ""12.29%""}, {""tech"": ""directory"", ""freq"": ""11.35%""}, {""tech"": ""oracle"", ""freq"": ""8.04%""}, {""tech"": ""excel"", ""freq"": ""7.8%""}]",2017,05
administrator,2017-06-01,"[{""tech"": ""windows"", ""freq"": ""66.26%""}, {""tech"": ""sql"", ""freq"": ""58.92%""}, {""tech"": ""server"", ""freq"": ""45.98%""}, {""tech"": ""linux"", ""freq"": ""41.43%""}, {""tech"": ""backup"", ""freq"": ""23.78%""}, {""tech"": ""centos"", ""freq"": ""17.83%""}, {""tech"": ""sas"", ""freq"": ""17.31%""}, {""tech"": ""ip"", ""freq"": ""15.56%""}, {""tech"": ""dns"", ""freq"": ""12.59%""}, {""tech"": ""tcp"", ""freq"": ""9.09%""}]",2017,06
administrator,2017-07-01,"[{""tech"": ""windows"", ""freq"": ""68.21%""}, {""tech"": ""sql"", ""freq"": ""62.29%""}, {""tech"": ""server"", ""freq"": ""47.5%""}, {""tech"": ""linux"", ""freq"": ""39.93%""}, {""tech"": ""backup"", ""freq"": ""25.32%""}, {""tech"": ""centos"", ""freq"": ""19.78%""}, {""tech"": ""sas"", ""freq"": ""19.41%""}, {""tech"": ""ip"", ""freq"": ""17.56%""}, {""tech"": ""dns"", ""freq"": ""12.75%""}, {""tech"": ""tcp"", ""freq"": ""10.17%""}]",2017,07
administrator,2017-08-01,"[{""tech"": ""windows"", ""freq"": ""70.58%""}, {""tech"": ""sql"", ""freq"": ""54.71%""}, {""tech"": ""server"", ""freq"": ""49.09%""}, {""tech"": ""linux"", ""freq"": ""37.69%""}, {""tech"": ""backup"", ""freq"": ""19.83%""}, {""tech"": ""ip"", ""freq"": ""17.69%""}, {""tech"": ""dns"", ""freq"": ""16.53%""}, {""tech"": ""centos"", ""freq"": ""15.21%""}, {""tech"": ""sas"", ""freq"": ""13.55%""}, {""tech"": ""directory"", ""freq"": ""12.07%""}]",2017,08
administrator,2017-09-01,"[{""tech"": ""windows"", ""freq"": ""61.61%""}, {""tech"": ""sql"", ""freq"": ""46.9%""}, {""tech"": ""server"", ""freq"": ""30.57%""}, {""tech"": ""ip"", ""freq"": ""23.45%""}, {""tech"": ""linux"", ""freq"": ""22.07%""}, {""tech"": ""dns"", ""freq"": ""16.55%""}, {""tech"": ""tcp"", ""freq"": ""14.02%""}, {""tech"": ""directory"", ""freq"": ""11.26%""}, {""tech"": ""web"", ""freq"": ""7.59%""}, {""tech"": ""vpn"", ""freq"": ""7.36%""}]",2017,09
